id,name,city,region,location,source
2136,بیلبورد پل سفید,تهران,پل سفید، جنب پلیس راه، محور تهران به شمال,پل سفید، جنب پلیس راه، محور تهران به شمال,billboardiha
2135,بیلبورد پل سفید,تهران,پل سفید، جنب پلیس راه، محور شمال به تهران,پل سفید، جنب پلیس راه، محور شمال به تهران,billboardiha
2142,بیلبورد پل سفید,تهران,پل سفید، نرسیده به سه راه شورمست، دید از تهران به شمال,پل سفید، نرسیده به سه راه شورمست، دید از تهران به شمال,billboardiha
1423,بیلبورد پل سفید,تهران,پل سفید، ورودی دریاچه شورمست، محور تهران به ساری,پل سفید، ورودی دریاچه شورمست، محور تهران به ساری,billboardiha
2139,بیلبورد پل سفید,تهران,پل سفید، ورودی شهر پل سفید از تهران، جنب پمپ بنزین علیپور,پل سفید، ورودی شهر پل سفید از تهران، جنب پمپ بنزین علیپور,billboardiha
3673,دیوار پمپ بنزین سپاهان شهر,تهران,پمپ بنزین سپاهان شهر,پمپ بنزین سپاهان شهر,irbillboard
2095,بیلبورد دوطرفه چالوس,تهران,چالوس، ورودی از تهران به سمت نوشهر، داخل پارک سنگی,چالوس، ورودی از تهران به سمت نوشهر، داخل پارک سنگی,billboardiha
3676,بیلبورد چمران غرب به شرق,تهران,چمران، غرب به شرق، قبل از پل نمایشگاه,چمران، غرب به شرق، قبل از پل نمایشگاه,irbillboard
3748,بیلبورد چهارراه آینه خانه,تهران,چهارراه آینه خانه,چهارراه آینه خانه,irbillboard
3785,کناره های پله برقی وید A فدک مال,تهران,کناره های پله برقی وید A روبروی هایپراستار فدک مال,کناره های پله برقی وید A روبروی هایپراستار فدک مال,irbillboard
3733,بیلبورد کیان پارس ضلع غرب,تهران,کیان پارس،ضلع غرب، میدان شهید چمران,کیان پارس،ضلع غرب، میدان شهید چمران,irbillboard
1766,بیلبورد گردان میدان کیو,خرم آباد,میدان کیو,میدان کیو,billboardiha
1767,بیلبورد گردان میدان کیو,خرم آباد,میدان کیو,میدان کیو,billboardiha
1768,بیلبورد گردان میدان کیو,خرم آباد,میدان کیو,میدان کیو,billboardiha
1190,بیلبورد خیابان تختی,رشت,خیابان تختی، دید از چهارراه گلسار,خیابان تختی، دید از چهارراه گلسار,billboardiha
3629,بیلبورد سعدی ابتدای بلوار معلم,رشت,سعدی ابتدای بلوار معلم ، ورودی پیاده  راه فرهنگی,سعدی ابتدای بلوار معلم ، ورودی پیاده  راه فرهنگی,billboardiha
3206,بیلبورد خیابان سعدی,رشت,سعدی ابتدای بلوار معلم، ورودی پیاده راه فرهنگی,سعدی ابتدای بلوار معلم، ورودی پیاده راه فرهنگی,billboardiha
2566,بیلبورد دو وجهی محور رشت - انزلی,رشت,محور رشت - انزلی، بعد از پلیس راه,محور رشت - انزلی، بعد از پلیس راه,billboardiha
2561,بیلبورد محور رشت - رامسر,رشت,محور رشت - رامسر، خروجی لنگرود، دید از مازندران,محور رشت - رامسر، خروجی لنگرود، دید از مازندران,billboardiha
